is_blue_verified,created_at,description,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_banner_url,profile_image_url_https,screen_name,statuses_count,verified,want_retweets,withheld_in_countries,professional_type,smart_blocked_by,smart_blocking,has_hidden_likes_on_profile,has_hidden_subscriptions_on_profile,is_identity_verified,verified_since_msec,can_highlight_tweets,highlighted_tweets,creator_subscriptions_count,url_0_display,url_0_expanded,url_0_url
False,Tue May 31 03:57:52 +0000 2011,,0,1,7,0,,0,Savannah,1,[],False,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,panda_paws,0,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Thu Feb 06 07:26:34 +0000 2020,🇨🇳 Chinese Ambassador to the State of Qatar,632,6659,179,116,"Doha, Qatar",768,Zhou Jian,6659,[],False,https://pbs.twimg.com/profile_banners/1225319823707602947/1586016009,https://pbs.twimg.com/profile_images/1226529984296214528/xxFGB3vD_normal.jpg,AmbZhouJian,9406,False,False,[],,False,False,False,False,False,,False,0,0,qa.china-embassy.org,http://qa.china-embassy.org,https://t.co/09hBM0NCrU
False,Wed Mar 21 17:38:52 +0000 2018,"中国驻圣多美和普林西比大使馆参赞 Counsellor, Chinese Embassy in São Tomé and príncipe 🇨🇳🇸🇹🇧🇷 走在非洲和拉美/ the life in Africa and Latin America",4207,2153,291,24,São Tomé and Príncipe,321,HU Bin 胡滨,2153,[],False,https://pbs.twimg.com/profile_banners/976513484446814208/1654428543,https://pbs.twimg.com/profile_images/1533401445340430336/B4PBUisX_normal.jpg,HU_Bin_CHN,1395,False,False,[],,False,False,False,False,False,,False,0,0,st.china-embassy.gov.cn/por/,http://st.china-embassy.gov.cn/por/,https://t.co/n3FJQ0ZtH2
False,Fri Aug 27 15:43:08 +0000 2021,Chinese Embassy in Tallinn,914,1461,70,35,,149,Chinese Embassy in Estonia,1461,[],False,,https://pbs.twimg.com/profile_images/1431295326154014723/anca3CAu_normal.jpg,ChineseEstonia,796,False,False,[],,False,False,False,False,False,1672905600000,False,0,0,,,
False,Fri Aug 02 15:52:48 +0000 2019,,629,104,371,2,"Jakarta, Indonesia",22,GAO Huijun,104,[],False,,https://pbs.twimg.com/profile_images/1228477461660422144/9UirNlBQ_normal.jpg,hui48298914,172,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Fri Nov 20 05:46:16 +0000 2020,,181,15781,1335,82,,7634,观察者Observer,15781,['1558000725510172672'],False,https://pbs.twimg.com/profile_banners/1329662292884000775/1606463391,https://pbs.twimg.com/profile_images/1329662449134432256/Yc7wVW8s_normal.jpg,GuanchaNewMedia,13347,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Fri Dec 11 06:09:52 +0000 2015,"""Closer to China"" brings the true, complex story of China to the world through candid discussions with China’s thought leaders and decision makers.",80,8794,143,34,Beijing,338,CGTN Closer to China,8794,[],False,https://pbs.twimg.com/profile_banners/4445417361/1618983442,https://pbs.twimg.com/profile_images/1384743031060918273/fTg0wkRO_normal.jpg,closertochina,1091,False,False,[],,False,False,False,False,False,,False,0,0,facebook.com/cgtnclosertoch…,http://facebook.com/cgtnclosertochina,https://t.co/f7JpBhqdzM
True,Tue Jun 22 09:35:28 +0000 2021,"News editor, researcher on China. Fact over falsehood.  Follow my YouTube channel here↓",932,42461,6413,56,Beijing,657,Patrick Zheng小強在中國,42461,['1702700265969754421'],False,https://pbs.twimg.com/profile_banners/1407270938811326464/1657852492,https://pbs.twimg.com/profile_images/1694824081986887684/ydKk_bjx_normal.jpg,PatrickZhengCHN,1184,False,False,[],Creator,False,False,False,False,False,1696693938022,True,1,0,youtube.com/@PatrickZhengC…,https://www.youtube.com/@PatrickZhengCHN,https://t.co/EjcTlAvWVU
False,Mon Mar 02 10:03:40 +0000 2020,外交官,190,11056,322,113,,10742,Lin Jing 林静,11056,['1557289319282446341'],False,,https://pbs.twimg.com/profile_images/1234419397630087170/o5gW_lJO_normal.jpg,CHINA_DIPLOMAT,25210,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Tue Dec 24 22:11:22 +0000 2019,"Compartilhando uma nova visão da China para o mundo! Todos os finais de semana na @bandnews.

Também estamos no Instagram! Siga-nos em: @mundo_china!",914,6716,208,58,"São Paulo, Brasil",10034,Mundo China,6716,['1647731933407748101'],False,https://pbs.twimg.com/profile_banners/1209597394523959296/1581623169,https://pbs.twimg.com/profile_images/1227588481406377985/FJBDH3uf_normal.jpg,mundo_china,11171,False,False,[],,False,False,False,False,False,,False,0,0,english.cctv.com,https://english.cctv.com/,https://t.co/M8uLlnPUUY
